"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UK000000000","1923","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","     26.3","","      26.3","E","         0","E","        42","E","         0","E","        27","E","         0","E","   -5.9","E,1225,+","   31.1","E,0711, ","-1.4","E,1106","-2.3","E,1107","-5.5","E,1125","","","","","-0.3","E,0424","-3.0","E,0113","","","","","","","    3428.9","9","    3428.9","E","      9.08","E","     12.49","E","      5.68","E"
"UK000000000","1924","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      2.4","","       2.4","E","         0","E","        53","E","         0","E","        12","E","         0","E","   -5.0","E,0215,+","   28.5","E,0711, ","-0.5","E,1104","-2.5","E,1105","","","","","","","-0.6","E,0417","-3.8","E,0318","-5.0","E,0215","","","","","    3381.7","7","    3381.7","E","      9.26","E","     12.56","E","      5.95","E"
"UK000000000","1925","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","     13.6","","      13.6","E","         0","E","        48","E","         1","E","        35","E","         0","E","   -6.0","E,1204, ","   28.5","E,0721, ","-0.1","E,1010","-2.6","E,1110","-4.7","E,1127","","","","","-1.6","E,0404","-2.6","E,0322","","","","","","","    3045.6","6","    3045.6","E","      9.13","E","     12.73","E","      5.54","E"
"UK000000000","1926","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","     17.6","","      17.6","E","         0","E","        28","E","         3","E","        34","E","         0","E","   -8.9","E,0117, ","   28.4","E,0713, ","-1.9","E,1018","-3.0","E,1019","","","","","","","0.0","E,0331","-4.5","E,0118","-4.5","E,0118","-8.9","E,0117","-8.9","E,0117","    3186.6","6","    3186.6","E","      9.75","E","     13.17","E","      6.33","E"
"UK000000000","1927","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      0.3","","       0.3","E","         0","E","        39","E","         6","E","        13","E","         0","E","   -6.6","E,1219, ","   25.5","E,0709, ","-0.5","E,1108","-3.5","E,1216","-4.5","E,1217","","","","","-1.0","E,0501","-2.2","E,0430","-5.3","E,0211","","","","","    3227.5","5","    3227.5","E","      9.19","E","     12.45","E","      5.92","E"
"UK000000000","1928","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      2.5","","       2.5","E","         0","E","        30","E","         0","E","        32","E","         0","E","   -5.1","E,0101, ","   25.7","E,0714,+","-2.6","E,1110","-2.6","E,1110","-4.8","E,1209","","","","","-0.4","E,0422","-4.2","E,0313","-5.1","E,0101","","","","","    3147.6","6","    3147.6","E","      9.56","E","     13.26","E","      5.87","E"
"UK000000000","1929","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      3.1","","       3.1","E","         0","E","        68","E","         6","E","        41","E","         0","E","  -12.5","E,0214, ","   28.2","E,0715, ","-0.6","E,1026","-2.9","E,1114","-4.5","E,1115","","","","","-0.1","E,0424","-2.7","E,0318","-4.8","E,0305","-7.1","E,0301","-9.8","E,0218","    3377.2","2","    3377.2","E","      9.02","E","     12.99","E","      5.04","E"
"UK000000000","1930","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","     14.0","","      14.0","E","         0","E","        40","E","         0","E","        22","E","         0","E","   -7.7","E,0320, ","   30.2","E,0826, ","-0.2","E,1027","-3.6","E,1105","-6.1","E,1117","","","","","-7.7","E,0320","-7.7","E,0320","-7.7","E,0320","-7.7","E,0320","","","    3046.9","9","    3046.9","E","      9.39","E","     12.77","E","      6.02","E"
"UK000000000","1931","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      0.1","","       0.1","E","         0","E","        57","E","         0","E","        10","E","         0","E","   -5.4","E,0310, ","   23.3","E,0803, ","-0.4","E,1021","-2.8","E,1022","-4.8","E,1219","","","","","-0.4","E,0401","-3.5","E,0313","-5.4","E,0310","","","","","    3237.7","7","    3237.7","E","      8.99","E","     12.39","E","      5.59","E"
"UK000000000","1932","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","     13.9","","      13.9","E","         0","E","        41","E","         0","E","        30","E","         0","E","   -5.0","E,0312, ","   30.3","E,0818, ","-0.9","E,1029","","","","","","","","","0.0","E,0508","-2.4","E,0314","-5.0","E,0312","","","","","    3291.6","6","    3291.6","E","      9.38","E","     12.87","E","      5.88","E"
"UK000000000","1933","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","     43.7","","      43.7","E","         0","E","        63","E","         1","E","        65","E","         0","E","   -5.9","E,0123, ","   28.8","E,0726, ","0.0","E,1028","-3.2","E,1206","","","","","","","-0.9","E,0419","-3.1","E,0224","-4.5","E,0127","","","","","    3053.9","9","    3053.9","E","      9.83","E","     13.69","E","      5.97","E"
"UK000000000","1934","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","     19.3","","      19.3","E","         0","E","        44","E","         0","E","        56","E","         0","E","   -3.6","E,0125, ","   28.9","E,0710, ","-0.7","E,1031","-2.2","E,1101","","","","","","","-0.8","E,0409","-3.1","E,0301","","","","","","","    3205.8","8","    3205.8","E","      9.98","E","     13.81","E","      6.14","E"
