"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105871","2004","50.2917","-3.6508","32.0","SLAPTON, UK","     13.8","","      13.8","E","       165","E","        93","E","         5","E","         0","E","        11","E","         0","E","        32","E","         0","E","   -3.0","E,0129, ","  50.7"," ,E,0622, ","   27.4","E,0614, ","0.0","E,1226","","","","","-2.1","E,0302","-3.0","E,0129","","","","","    2439.4","4","    2439.4","E","    971.9"," ,E","     11.51","E","     14.93","E","      8.08","E"
"UKE00105871","2005","50.2917","-3.6508","32.0","SLAPTON, UK","","","","","       166","E","        85","E","         3","E","","","","","","","","","","","","","  33.8"," ,E,1023, ","","","","","","","","","","","","","","","","","    2504.5","5","    2504.5","E","    922.7"," ,E","","","","","",""
"UKE00105871","2006","50.2917","-3.6508","32.0","SLAPTON, UK","     35.8","","      35.8","E","       159","E","       101","E","         2","E","         0","E","         9","E","         0","E","        58","E","         0","E","   -2.5","E,0302, ","  38.2"," ,E,0625, ","   26.6","E,0717, ","","","","","","","0.0","E,0411","-2.5","E,0302","","","","","","","","","    990.0"," ,E","     11.79","E","     15.04","E","      8.54","E"
"UKE00105871","2007","50.2917","-3.6508","32.0","SLAPTON, UK","      3.7","","       3.7","E","       167","E","       107","E","         4","E","         0","E","         5","E","         0","E","        31","E","         0","E","   -2.1","E,0126, ","  33.4"," ,E,1120, ","   25.7","E,0825, ","0.0","E,1113","","","","","-1.3","E,0321","","","","","","","    2081.0","0","    2081.0","E","   1187.9"," ,E","     11.96","E","     15.49","E","      8.42","E"
"UKE00105871","2008","50.2917","-3.6508","32.0","SLAPTON, UK","      3.1","","       3.1","E","       173","E","       113","E","         4","E","         0","E","         8","E","         0","E","        22","E","         0","E","   -1.6","E,0408, ","  35.5"," ,E,1004, ","   24.0","E,0716, ","-0.6","E,1204","","","","","0.0","E,0410","","","","","","","    2433.3","3","    2433.3","E","   1125.2"," ,E","     11.23","E","     14.54","E","      7.92","E"
"UKE00105871","2009","50.2917","-3.6508","32.0","SLAPTON, UK","      6.1","","       6.1","E","       174","E","       104","E","         7","E","         0","E","        20","E","         0","E","        27","E","         0","E","   -5.6","E,0107, ","  45.3"," ,E,0209, ","   25.1","E,0810, ","-1.0","E,1201","-3.7","E,1219","","","0.0","E,0306","-4.4","E,0203","-4.4","E,0203","","","    2675.0","0","    2675.0","E","   1160.6"," ,E","     11.22","E","     14.57","E","      7.86","E"
"UKE00105871","2010","50.2917","-3.6508","32.0","SLAPTON, UK","     10.0","","      10.0","E","       144","E","        77","E","         5","E","         0","E","        52","E","         0","E","        48","E","         0","E","   -6.0","E,1222,+","  49.0"," ,E,0822, ","   25.4","E,0725, ","-1.5","E,1125","-2.7","E,1128","-6.0","E,1203","-0.7","E,0401","-2.2","E,0212","-5.0","E,0105","","","    2687.5","5","    2687.5","E","    871.1"," ,E","     10.30","E","     13.97","E","      6.63","E"
"UKE00105871","2011","50.2917","-3.6508","32.0","SLAPTON, UK","      7.8","","       7.8","E","       157","E","        78","E","         3","E","         0","E","         8","E","         0","E","        20","E","         0","E","   -3.6","E,0201, ","  31.1"," ,E,1026, ","   29.2","E,0603, ","","","","","","","-0.3","E,0319","-3.6","E,0201","","","","","    2595.6","6","    2595.6","E","    853.2"," ,E","     11.83","E","     15.21","E","      8.45","E"
"UKE00105871","2012","50.2917","-3.6508","32.0","SLAPTON, UK","      3.9","","       3.9","E","       191","E","       124","E","         9","E","         0","E","        14","E","         0","E","        14","E","         0","E","   -4.7","E,0204, ","  74.9"," ,E,0706, ","   24.5","E,0726,+","-2.0","E,1129","","","","","-2.5","E,0220","-2.5","E,0220","-4.7","E,0204","","","    2484.3","3","    2484.3","E","   1510.9"," ,E","     10.92","E","     14.25","E","      7.58","E"
"UKE00105871","2013","50.2917","-3.6508","32.0","SLAPTON, UK","     17.6","","      17.6","E","       168","E","       109","E","         6","E","         0","E","        20","E","         0","E","        49","E","         0","E","   -2.9","E,0312, ","  38.3"," ,E,1027, ","   27.7","E,0712, ","-0.1","E,1205","","","","","0.0","E,0421","-2.9","E,0312","","","","","    2844.2","2","    2844.2","E","   1123.2"," ,E","     10.81","E","     14.18","E","      7.42","E"
"UKE00105871","2014","50.2917","-3.6508","32.0","SLAPTON, UK","     20.4","","      20.4","E","       193","E","       126","E","         3","E","         0","E","         4","E","         0","E","        36","E","         0","E","   -2.0","E,1230, ","  41.7"," ,E,1012, ","   27.0","E,0725, ","-1.4","E,1210","","","","","-0.5","E,0324","","","","","","","    2384.6","6","    2384.6","E","   1299.1"," ,E","     11.88","E","     15.40","E","      8.35","E"
